Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Ward/Commune,District,Province
172.0,,,,4.0,5.0,8.7,Tân Phước Khánh,Tân Uyên,Bình Dương
150.0,,7.0,2.0,3.0,3.0,4.0,Trảng Dài,Biên Hòa,Đồng Nai
50.0,,,4.0,4.0,4.0,6.6,Dịch Vọng Hậu,Cầu Giấy,Hà Nội
200.0,,7.0,2.0,3.0,2.0,5.2,Trảng Dài,Biên Hòa,Đồng Nai
130.0,4.5,20.0,1.0,2.0,2.0,3.9,Hòa Phú,Củ Chi,Hồ Chí Minh
42.0,4.0,15.0,3.0,3.0,3.0,7.3,Vân Canh,Hoài Đức,Hà Nội
45.0,,,5.0,6.0,5.0,8.95,Mai Dịch,Cầu Giấy,Hà Nội
100.0,12.0,6.0,4.0,4.0,6.0,7.5,9,Gò Vấp,Hồ Chí Minh
36.0,4.0,3.0,2.0,2.0,2.0,3.6,16,Gò Vấp,Hồ Chí Minh
320.0,11.0,10.0,,,,7.5,Trảng Dài,Biên Hòa,Đồng Nai
92.0,,,2.0,2.0,3.0,4.1,Trảng Dài,Biên Hòa,Đồng Nai
98.0,7.0,10.0,3.0,3.0,4.0,5.2,Phước Lộc,Nhà Bè,Hồ Chí Minh
50.0,5.0,4.0,3.0,3.0,3.0,6.2,Bình Trưng Tây,Quận 2,Hồ Chí Minh
40.0,4.3,3.0,5.0,6.0,6.0,6.5,Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội
40.0,4.0,,4.0,3.0,3.0,4.4,Khâm Thiên,Đống Đa,Hà Nội
33.0,5.5,2.0,5.0,3.0,4.0,4.35,Tam Hiệp,Thanh Trì,Hà Nội
55.0,4.0,6.0,4.0,4.0,4.0,9.0,Xuân La,Tây Hồ,Hà Nội
120.0,6.0,6.0,2.0,2.0,1.0,1.37,Phước Tân,Biên Hòa,Đồng Nai
52.0,4.1,,3.0,4.0,5.0,4.9,Tân Thuận Tây,Quận 7,Hồ Chí Minh
48.0,4.0,4.0,2.0,4.0,3.0,2.48,Hiệp Thành,Quận 12,Hồ Chí Minh
59.0,,,4.0,6.0,4.0,8.55,Định Công,Hoàng Mai,Hà Nội
32.0,3.2,3.0,2.0,2.0,2.0,3.4,Tân Hưng,Quận 7,Hồ Chí Minh
160.0,,,3.0,4.0,4.0,9.5,Đại Phước,Nhơn Trạch,Đồng Nai
45.0,5.0,5.0,5.0,6.0,5.0,6.7,Minh Khai,Hai Bà Trưng,Hà Nội
40.0,4.5,5.0,5.0,4.0,5.0,6.8,Thanh Lương,Hai Bà Trưng,Hà Nội
198.0,,,,,,10.0,Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh
72.0,4.0,8.0,3.0,4.0,5.0,6.3,Nhà Bè,Nhà Bè,Hồ Chí Minh
25.0,7.0,4.0,6.0,3.0,3.0,5.2,Ô Chợ Dừa,Đống Đa,Hà Nội
23.25,,,3.0,3.0,3.0,5.2,12,Quận 10,Hồ Chí Minh
40.0,5.0,8.0,3.0,3.0,3.0,2.7,Đại Thành,Quốc Oai,Hà Nội
35.0,5.0,,5.0,,,3.95,Di Trạch,Hoài Đức,Hà Nội
90.0,4.5,10.0,4.0,5.0,4.0,8.65,An Lạc A,Bình Tân,Hồ Chí Minh
46.0,4.0,4.5,3.0,2.0,2.0,4.1,Di Trạch,Hoài Đức,Hà Nội
56.4,3.7,,,,,7.2,Cống Vị,Ba Đình,Hà Nội
35.0,,,5.0,,,7.5,Nghĩa Đô,Cầu Giấy,Hà Nội
55.0,,,4.0,3.0,,4.25,Ngọc Lâm,Long Biên,Hà Nội
68.0,4.0,17.0,3.0,4.0,3.0,8.5,Bình Trị Đông B,Bình Tân,Hồ Chí Minh.
28.5,,,5.0,3.0,,7.5,Dịch Vọng Hậu,Cầu Giấy,Hà Nội
66.0,4.0,17.0,3.0,4.0,3.0,9.8,10,Quận 6,Hồ Chí Minh
30.0,3.4,,5.0,3.0,3.0,4.1,La Khê,Hà Đông,Hà Nội
75.0,,,2.0,,,2.0,Mỹ Phước,Bến Cát,Bình Dương
55.0,6.0,6.0,3.0,2.0,2.0,7.0,Tân Kiểng,Quận 7,Hồ Chí Minh
34.1,4.0,,5.0,3.0,5.0,4.85,Dương Nội,Hà Đông,Hà Nội
51.7,6.0,2.5,2.0,4.0,2.0,2.35,Ngọc Hiệp,Nha Trang,Khánh Hòa
50.0,4.0,4.0,5.0,3.0,4.0,8.0,Tân Mai,Hoàng Mai,Hà Nội
36.0,3.6,,4.0,3.0,3.0,3.5,15,Quận 4,Hồ Chí Minh
34.0,3.0,3.0,4.0,5.0,4.0,5.99,12,Quận 10,Hồ Chí Minh
70.3,3.95,,,,,7.6,Tân An,Ninh Kiều,Cần Thơ
90.0,4.5,,3.0,4.0,4.0,10.0,An Khánh,Ninh Kiều,Cần Thơ
30.0,3.5,5.0,6.0,5.0,5.0,6.1,Giang Biên,Long Biên,Hà Nội
59.0,,6.0,4.0,5.0,3.0,7.7,14,Gò Vấp,Hồ Chí Minh
65.0,,,5.0,5.0,5.0,6.1,12,Gò Vấp,Hồ Chí Minh
68.4,4.0,,,,,9.1,An Hòa,Ninh Kiều,Cần Thơ
48.0,4.0,,4.0,4.0,4.0,8.5,Đồng Tâm,Hai Bà Trưng,Hà Nội
56.0,5.0,35.0,5.0,5.0,5.0,8.9,Ngọc Lâm,Long Biên,Hà Nội
66.0,,,2.0,,,6.2,Linh Chiểu,Thủ Đức,Hồ Chí Minh
88.0,,6.0,2.0,,,6.0,Trâu Quỳ,Gia Lâm,Hà Nội
85.0,5.0,,3.0,,,4.1,Hắc Dịch,Phú Mỹ,Bà Rịa Vũng Tàu
37.0,,3.0,5.0,3.0,,6.6,Khương Đình,Thanh Xuân,Hà Nội
69.0,5.0,,3.0,3.0,4.0,8.5,Tây Mỗ,Nam Từ Liêm,Hà Nội
27.3,,2.0,2.0,2.0,1.0,3.89,3,Bình Thạnh,Hồ Chí Minh
34.0,,,2.0,2.0,2.0,4.75,1,Gò Vấp,Hồ Chí Minh
30.0,3.7,5.0,4.0,3.0,3.0,4.5,Hoàng Văn Thụ,Hoàng Mai,Hà Nội
33.0,3.0,5.0,2.0,2.0,2.0,2.95,Tân Thuận Tây,Quận 7,Hồ Chí Minh
24.0,,,4.0,3.0,3.0,5.1,Thanh Xuân Bắc,Thanh Xuân,Hà Nội
30.0,4.0,2.5,5.0,3.0,4.0,5.25,Hoàng Văn Thụ,Hoàng Mai,Hà Nội
30.0,4.0,6.0,5.0,3.0,4.0,5.65,Khương Đình,Thanh Xuân,Hà Nội
200.0,10.0,14.0,3.0,5.0,4.0,9.5,Long Hưng,Biên Hòa,Đồng Nai
35.0,,,5.0,4.0,4.0,4.05,La Phù,Hoài Đức,Hà Nội
42.0,7.0,6.0,5.0,3.0,3.0,6.58,Định Công,Hoàng Mai,Hà Nội
50.0,4.0,2.5,3.0,3.0,3.0,2.7,Đại Thành,Quốc Oai,Hà Nội
115.0,,25.0,2.0,2.0,2.0,8.0,Thạnh Xuân,Quận 12,Hồ Chí Minh
37.0,,,5.0,4.0,3.0,4.35,Thịnh Liệt,Hoàng Mai,Hà Nội
60.0,4.0,,4.0,4.0,3.0,6.6,Tân Quý,Tân Phú,Hồ Chí Minh
38.0,4.8,,4.0,6.0,3.0,6.5,Khương Đình,Thanh Xuân,Hà Nội
60.0,,,5.0,5.0,5.0,9.0,Vĩnh Hưng,Hoàng Mai,Hà Nội
43.0,,,5.0,4.0,,7.55,Đại Kim,Hoàng Mai,Hà Nội
45.0,3.55,5.0,5.0,4.0,3.0,6.6,Thanh Liệt,Thanh Trì,Hà Nội
85.0,5.0,12.0,4.0,4.0,5.0,7.5,6,Quận 8,Hồ Chí Minh
34.0,4.0,3.0,5.0,3.0,4.0,6.6,Thượng Đình,Thanh Xuân,Hà Nội
35.0,,,5.0,3.0,4.0,5.75,Liễu Giai,Ba Đình,Hà Nội
30.0,,,5.0,3.0,4.0,5.75,Cống Vị,Ba Đình,Hà Nội
32.0,3.3,6.0,3.0,,,5.8,Kim Giang,Thanh Xuân,Hà Nội
109.0,,,4.0,,,6.7,Linh Chiểu,Thủ Đức,Hồ Chí Minh
33.0,33.0,5.0,5.0,6.0,4.0,6.9,Hoàng Văn Thụ,Hoàng Mai,Hà Nội
40.0,,,4.0,4.0,3.0,9.7,Khương Thượng,Đống Đa,Hà Nội
42.0,4.0,5.0,2.0,2.0,4.0,9.0,Phú La,Hà Đông,Hà Nội
35.0,3.5,3.0,5.0,4.0,3.0,5.5,Khương Đình,Thanh Xuân,Hà Nội
43.0,,,2.0,3.0,,2.35,Đại Mạch,Đông Anh,Hà Nội
75.0,5.0,11.0,4.0,3.0,3.0,5.5,12,Vũng Tàu,Bà Rịa Vũng Tàu
120.0,10.0,,2.0,3.0,,7.8,Phước Long B,Quận 9,Hồ Chí Minh
88.0,,5.0,3.0,3.0,4.0,10.0,3,Đà Lạt,Lâm Đồng
68.0,,5.0,4.0,5.0,4.0,6.5,2,Quận 8,Hồ Chí Minh
35.0,,,5.0,5.0,4.0,9.9,Cầu Kho,Quận 1,Hồ Chí Minh
100.0,20.0,20.0,,8.0,,9.0,Thượng Đình,Thanh Xuân,Hà Nội
108.0,5.0,10.0,,2.0,1.0,6.5,Phước Bình,Quận 9,Hồ Chí Minh
55.4,5.0,,2.0,2.0,2.0,3.6,An Hải Tây,Sơn Trà,Đà Nẵng
469.0,20.0,5.0,1.0,2.0,1.0,2.5,Nông trường Mộc Châu,Mộc Châu,Sơn La
120.0,7.5,,5.0,,,6.0,An Thới,Phú Quốc,Kiên Giang
36.0,3.5,2.5,6.0,6.0,4.0,6.9,Phú Đô,Nam Từ Liêm,Hà Nội
56.0,8.0,3.0,1.0,2.0,2.0,1.95,Lê Minh Xuân,Bình Chánh,Hồ Chí Minh
73.0,3.0,20.0,4.0,4.0,4.0,8.5,12,Bình Thạnh,Hồ Chí Minh
40.0,4.2,5.0,5.0,4.0,3.0,6.3,Tân Triều,Thanh Trì,Hà Nội
45.0,,,5.0,6.0,,6.7,Trương Định,Hai Bà Trưng,Hà Nội
40.0,,5.0,3.0,4.0,3.0,2.9,Tân Tạo,Bình Tân,Hồ Chí Minh
52.0,,,,,,6.3,Nghĩa Trụ,Văn Giang,Hưng Yên
31.0,,2.5,5.0,5.0,4.0,7.95,Mễ Trì,Nam Từ Liêm,Hà Nội
63.0,5.0,6.0,3.0,3.0,3.0,2.8,Bửu Hòa,Biên Hòa,Đồng Nai
75.0,5.0,22.0,3.0,4.0,4.0,2.25,Mỹ Hạnh Nam,Đức Hòa,Long An
92.6,4.2,,4.0,5.0,6.0,9.5,Trường Thọ,Thủ Đức,Hồ Chí Minh
100.0,11.0,14.0,2.0,8.0,4.0,1.65,Đức Lập Hạ,Đức Hòa,Long An
86.0,4.9,,4.0,7.0,7.0,9.8,12,Phú Nhuận,Hồ Chí Minh
30.0,4.0,4.0,3.0,3.0,2.0,5.73,Thanh Xuân Nam,Thanh Xuân,Hà Nội
44.0,4.8,,5.0,5.0,4.0,7.4,Phú Thượng,Tây Hồ,Hà Nội
32.0,,,4.0,3.0,2.0,5.0,Xuân La,Tây Hồ,Hà Nội
52.0,,,2.0,,,5.2,Tân Phú,Quận 7,Hồ Chí Minh
31.0,3.6,,5.0,6.0,4.0,4.95,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội
60.0,,,4.0,4.0,5.0,8.5,Trường Thọ,Thủ Đức,Hồ Chí Minh
105.0,,,4.0,4.0,5.0,9.3,Hòa Phú,Thủ Dầu Một,Bình Dương
200.0,6.7,4.0,1.0,9.0,9.0,5.9,Hưng Lợi,Ninh Kiều,Cần Thơ
240.0,10.0,4.0,1.0,8.0,8.0,4.95,An Bình,Ninh Kiều,Cần Thơ
24.0,4.0,5.0,2.0,2.0,1.0,2.8,Tân Thuận Đông,Quận 7,Hồ Chí Minh
21.0,,4.0,,2.0,1.0,1.0,Thạnh Xuân,Quận 12,Hồ Chí Minh
62.0,,3.0,2.0,3.0,2.0,5.95,7,Bình Thạnh,Hồ Chí Minh
30.0,,,5.0,,,4.99,Lĩnh Nam,Hoàng Mai,Hà Nội
22.4,,5.0,,2.0,1.0,1.0,Thạnh Xuân,Quận 12,Hồ Chí Minh
28.0,,,5.0,,,4.25,Mai Động,Hoàng Mai,Hà Nội
40.0,,,6.0,4.0,,7.5,Đồng Tâm,Hai Bà Trưng,Hà Nội
40.0,,,,,,7.6,Đại Kim,Hoàng Mai,Hà Nội
63.0,4.2,,3.0,5.0,,8.9,11,Tân Bình,Hồ Chí Minh
30.0,,,,,,4.2,Lĩnh Nam,Hoàng Mai,Hà Nội
80.0,5.0,17.0,5.0,6.0,5.0,9.7,Nghĩa Trụ,Văn Giang,Hưng Yên
50.0,4.0,8.0,4.0,6.0,6.0,3.5,Tiên Hiệp,Phủ Lý,Hà Nam
52.0,,,,,,7.5,Tương Mai,Hoàng Mai,Hà Nội
43.0,,,6.0,,,9.8,Thịnh Liệt,Hoàng Mai,Hà Nội
165.2,,,,,,4.2,Tân Hiệp,Biên Hòa,Đồng Nai
35.0,3.3,,6.0,5.0,,5.45,Phú Đô,Nam Từ Liêm,Hà Nội
50.0,4.1,,5.0,,,6.4,Tân Mai,Hoàng Mai,Hà Nội
73.0,4.5,5.5,4.0,4.0,5.0,5.15,Thanh Khê Tây,Thanh Khê,Đà Nẵng
107.5,5.0,15.0,3.0,3.0,3.0,7.6,Hòa Xuân,Cẩm Lệ,Đà Nẵng.
85.0,5.0,5.5,4.0,4.0,6.0,5.75,Hòa Minh,Liên Chiểu,Đà Nẵng
35.0,,,5.0,4.0,,5.0,Phú Đô,Nam Từ Liêm,Hà Nội
63.0,,,2.0,3.0,2.0,3.5,Nam Hồng,Đông Anh,Hà Nội
60.0,,,,,,3.9,11,Gò Vấp,Hồ Chí Minh
126.5,5.5,,5.0,6.0,4.0,5.68,Hùng Vương,Phúc Yên,Vĩnh Phúc
35.0,3.5,,3.0,3.0,,5.75,Thanh Xuân Nam,Thanh Xuân,Hà Nội
52.0,,,5.0,4.0,5.0,7.0,Ngã Tư Sở,Đống Đa,Hà Nội
61.0,4.0,2.0,4.0,,,8.0,Cống Vị,Ba Đình,Hà Nội
61.0,4.1,,1.0,1.0,2.0,3.85,15,Quận 4,Hồ Chí Minh
75.2,4.7,,3.0,4.0,4.0,8.65,Tân Quy,Quận 7,Hồ Chí Minh
41.25,3.3,4.0,3.0,3.0,3.0,4.35,5,Quận 8,Hồ Chí Minh
50.0,,5.0,5.0,8.0,6.0,8.5,25,Bình Thạnh,Hồ Chí Minh
75.0,,,2.0,3.0,3.0,8.5,Tân Quy,Quận 7,Hồ Chí Minh
63.0,4.0,,3.0,,,6.5,Kim Mã,Ba Đình,Hà Nội
50.0,3.5,3.0,6.0,4.0,4.0,6.5,Kim Giang,Thanh Xuân,Hà Nội
72.0,4.2,10.0,4.0,4.0,4.0,6.5,Thạnh Lộc,Quận 12,Hồ Chí Minh
41.0,3.0,2.5,2.0,2.0,2.0,2.4,Hiệp Thành,Quận 12,Hồ Chí Minh
83.0,4.0,6.0,2.0,3.0,3.0,7.0,Tăng Nhơn Phú A,Thủ Đức,Hồ Chí Minh
31.0,,,5.0,3.0,5.0,4.8,Kiến Hưng,Hà Đông,Hà Nội
55.0,,,3.0,4.0,,5.9,3,Tân Bình,Hồ Chí Minh
120.0,6.0,8.0,1.0,7.0,7.0,8.45,Hiệp Phú,Thủ Đức,Hồ Chí Minh
54.5,4.0,5.0,3.0,3.0,3.0,5.65,Linh Trung,Thủ Đức,Hồ Chí Minh
40.0,,,5.0,3.0,3.0,6.6,3,Quận 4,Hồ Chí Minh
80.1,5.3,5.0,2.0,4.0,4.0,4.85,Tăng Nhơn Phú B,Thủ Đức,Hồ Chí Minh
51.9,5.2,6.0,3.0,4.0,5.0,6.5,Nhà Bè,Nhà Bè,Hồ Chí Minh
91.0,6.0,6.0,2.0,3.0,2.0,9.0,Linh Chiểu,Thủ Đức,Hồ Chí Minh
80.0,5.0,6.0,2.0,3.0,2.0,2.55,Tân Phước Khánh,Tân Uyên,Bình Dương
46.0,4.1,6.0,4.0,4.0,5.0,6.9,1,Quận 11,Hồ Chí Minh
34.0,3.3,3.5,5.0,3.0,5.0,5.5,Tây Mỗ,Nam Từ Liêm,Hà Nội
20.0,,,2.0,2.0,2.0,3.4,24,Bình Thạnh,Hồ Chí Minh
96.0,,,,,,4.9,Hoằng Trường,Hoằng Hóa,Thanh Hóa.
27.0,3.2,3.0,4.0,3.0,2.0,4.5,Thanh Xuân Trung,Thanh Xuân,Hà Nội
60.0,,,,,,8.9,Yên Sở,Hoàng Mai,Hà Nội
14.0,,4.0,2.0,1.0,2.0,1.6,4,Gò Vấp,Hồ Chí Minh
102.0,6.0,4.0,2.0,3.0,,9.9,8,Phú Nhuận,Hồ Chí Minh
80.0,,,3.0,4.0,3.0,5.5,Tăng Nhơn Phú B,Thủ Đức,Hồ Chí Minh
69.0,4.0,3.0,3.0,4.0,,5.9,7,Phú Nhuận,Hồ Chí Minh
99.46,,,2.0,,,4.38,Tân Thới Nhất,Quận 12,Hồ Chí Minh
162.0,8.0,8.0,,,,4.3,Phước Thuận,Xuyên Mộc,Bà Rịa Vũng Tàu
36.0,,,5.0,3.0,4.0,6.9,Minh Khai,Hai Bà Trưng,Hà Nội
41.0,,,4.0,4.0,4.0,5.7,Vạn Phúc,Hà Đông,Hà Nội
40.0,,,7.0,4.0,6.0,8.7,Liễu Giai,Ba Đình,Hà Nội
51.0,4.0,12.0,3.0,4.0,5.0,7.2,Sơn Kỳ,Tân Phú,Hồ Chí Minh
74.8,,,2.0,3.0,2.0,3.15,Tân Đông Hiệp,Dĩ An,Bình Dương.
50.0,3.5,,2.0,2.0,1.0,1.4,Bình Hưng,Bình Chánh,Hồ Chí Minh
50.0,,,5.0,7.0,,9.5,Khương Trung,Thanh Xuân,Hà Nội
54.0,,,4.0,4.0,3.0,7.5,Khương Trung,Thanh Xuân,Hà Nội
61.0,4.5,7.0,2.0,3.0,2.0,3.2,Tân Đông Hiệp,Dĩ An,Bình Dương.
42.0,,,3.0,2.0,2.0,6.5,Khương Trung,Thanh Xuân,Hà Nội
35.0,,,4.0,4.0,,6.25,Bưởi,Tây Hồ,Hà Nội
52.0,8.0,15.0,3.0,4.0,4.0,5.6,Tân Kiểng,Quận 7,Hồ Chí Minh
96.0,,,2.0,5.0,3.0,9.5,Phú Trung,Tân Phú,Hồ Chí Minh
86.5,,,2.0,2.0,2.0,4.92,Nhơn Đức,Nhà Bè,Hồ Chí Minh
72.8,,,,,,5.2,Phú Xuân,Nhà Bè,Hồ Chí Minh
66.3,6.0,15.0,2.0,3.0,3.0,6.15,Tân Thuận Tây,Quận 7,Hồ Chí Minh
300.0,10.0,19.0,2.0,3.0,4.0,3.5,Đất Đỏ,Đất Đỏ,Bà Rịa Vũng Tàu
90.0,,,5.0,,,7.9,Cửu Cao,Văn Giang,Hưng Yên
18.0,,,4.0,3.0,2.0,2.58,Trung Phụng,Đống Đa,Hà Nội
110.0,4.0,15.0,5.0,5.0,4.0,5.6,Tiên Hiệp,Phủ Lý,Hà Nam
35.0,,3.0,2.0,2.0,2.0,4.82,11,Bình Thạnh,Hồ Chí Minh
50.0,8.5,3.0,4.0,4.0,5.0,9.3,Khương Trung,Thanh Xuân,Hà Nội
68.0,,4.0,3.0,3.0,4.0,6.3,Tân Quý,Tân Phú,Hồ Chí Minh
44.0,,,2.0,2.0,1.0,3.1,Trương Định,Hai Bà Trưng,Hà Nội
64.0,,6.0,2.0,3.0,3.0,7.7,Tân Quy,Quận 7,Hồ Chí Minh
78.0,4.0,7.0,4.0,4.0,3.0,5.25,An Lạc,Bình Tân,Hồ Chí Minh
30.0,4.0,3.0,4.0,2.0,,4.5,Khương Trung,Thanh Xuân,Hà Nội
72.0,6.0,15.0,2.0,3.0,3.0,3.8,Tân Kiểng,Quận 7,Hồ Chí Minh
56.0,3.5,20.0,2.0,3.0,3.0,5.5,Tân Thuận Tây,Quận 7,Hồ Chí Minh
37.0,3.4,50.0,4.0,3.0,3.0,3.8,Tả Thanh Oai,Thanh Trì,Hà Nội
48.0,4.0,4.0,3.0,4.0,4.0,3.65,Tân Tạo,Bình Tân,Hồ Chí Minh
48.0,3.5,3.0,4.0,4.0,4.0,3.75,Vĩnh Quỳnh,Thanh Trì,Hà Nội
67.2,,6.0,2.0,3.0,3.0,7.0,Tân Thuận Đông,Quận 7,Hồ Chí Minh
31.0,3.5,2.0,2.0,2.0,1.0,2.05,Thượng Cát,Bắc Từ Liêm,Hà Nội
53.0,,6.0,3.0,4.0,4.0,7.5,1,Phú Nhuận,Hồ Chí Minh
38.0,,3.0,3.0,3.0,3.0,4.78,11,Gò Vấp,Hồ Chí Minh
30.0,,,5.0,4.0,5.0,5.45,Nhân Chính,Thanh Xuân,Hà Nội
56.0,6.6,,3.0,3.0,3.0,8.5,Nghĩa Đô,Cầu Giấy,Hà Nội
64.0,,20.0,2.0,3.0,3.0,5.3,Tân Quy,Quận 7,Hồ Chí Minh
75.0,7.0,15.0,,,,7.9,Vĩnh Niệm,Lê Chân,Hải Phòng
43.0,3.3,,4.0,4.0,3.0,2.85,Văn Điển,Thanh Trì,Hà Nội
65.0,,,5.0,,,8.99,Thượng Thanh,Quận Long Biên,Hà Nội
50.0,4.0,12.0,,,,7.2,Yên Nghĩa,Hà Đông,Hà Nội
45.0,4.0,4.0,4.0,4.0,3.0,3.98,Vĩnh Quỳnh,Thanh Trì,Hà Nội
35.0,4.0,2.0,4.0,3.0,4.0,4.7,Thanh Trì,Hoàng Mai,Hà Nội
68.0,4.0,5.0,4.0,5.0,6.0,7.9,6,Gò Vấp,Hồ Chí Minh
31.0,,6.0,5.0,3.0,4.0,5.2,Thanh Trì,Hoàng Mai,Hà Nội
45.0,3.5,3.0,4.0,4.0,3.0,4.45,Vĩnh Quỳnh,Thanh Trì,Hà Nội
63.0,7.5,,5.0,,,8.37,Thượng Thanh,Long Biên,Hà Nội
64.0,,,5.0,,,8.4,Thượng Thanh,Long Biên,Hà Nội
65.0,,,5.0,,,8.35,Thượng Thanh,Long Biên,Hà Nội
64.0,,,,,,7.3,Long Hưng,Văn Giang,Hưng Yên
65.0,,,,,,8.2,Thượng Thanh,Long Biên,Hà Nội
67.0,,,2.0,,,8.25,Thượng Thanh,Quận Long Biên,Hà Nội
115.2,,12.0,2.0,4.0,2.0,4.9,Hiệp Phước,Nhơn Trạch,Đồng Nai
62.0,,,5.0,,,8.8,Thượng Thanh,Long Biên,Hà Nội
45.0,6.5,2.5,5.0,6.0,4.0,7.9,Mỹ Đình 2,Nam Từ Liêm,Hà Nội
17.0,2.5,3.5,3.0,2.0,3.0,2.95,9,Quận 10,Hồ Chí Minh
35.0,,,6.0,,,6.25,Giang Biên,Long Biên,Hà Nội
76.0,4.0,8.0,4.0,4.0,5.0,8.05,15,Tân Bình,Hồ Chí Minh
56.0,,,4.0,5.0,5.0,7.35,15,Tân Bình,Hồ Chí Minh
55.0,4.6,6.0,4.0,5.0,4.0,7.2,15,Tân Bình,Hồ Chí Minh
60.0,4.0,8.0,4.0,4.0,5.0,7.45,15,Tân Bình,Hồ Chí Minh
58.8,4.2,8.0,4.0,5.0,4.0,7.45,15,Tân Bình,Hồ Chí Minh
70.0,5.5,10.0,4.0,5.0,5.0,9.7,15,Tân Bình,Hồ Chí Minh
60.0,9.0,9.0,4.0,4.0,5.0,8.5,12,Gò Vấp,Hồ Chí Minh.
70.0,10.0,10.0,4.0,4.0,5.0,8.95,15,Tân Bình,Hồ Chí Minh
35.0,3.5,10.0,1.0,2.0,2.0,6.4,9,Quận 11,Hồ Chí Minh
55.0,5.0,6.0,4.0,4.0,5.0,7.27,12,Gò Vấp,Hồ Chí Minh
100.0,5.1,8.0,4.0,5.0,5.0,9.5,15,Tân Bình,Hồ Chí Minh
93.0,,12.0,4.0,4.0,5.0,9.7,Trường Thọ,Thủ Đức,Hồ Chí Minh
95.0,,,1.0,3.0,2.0,6.3,Trường Thọ,Thủ Đức,Hồ Chí Minh
58.8,4.1,5.0,3.0,4.0,4.0,2.25,Long Thạnh Mỹ,Thủ Đức,Hồ Chí Minh
35.0,4.0,5.0,6.0,3.0,4.0,6.8,Ngọc Thụy,Long Biên,Hà Nội
105.6,4.8,6.0,2.0,4.0,3.0,1.1,Tân Kiên,Bình Chánh,Hồ Chí Minh
96.0,8.0,22.0,4.0,5.0,3.0,5.0,Hoằng Trường,Hoằng Hóa,Thanh Hóa.
100.0,5.0,5.5,3.0,3.0,3.0,4.4,Hòa Xuân,Cẩm Lệ,Đà Nẵng
50.0,,,5.0,6.0,6.0,8.7,Quang Trung,Hà Đông,Hà Nội
85.0,5.0,5.5,3.0,3.0,3.0,6.45,Hòa Minh,Liên Chiểu,Đà Nẵng
33.0,,,4.0,3.0,3.0,2.2,Biên Giang,Hà Đông,Hà Nội
60.0,5.5,7.0,2.0,2.0,2.0,6.99,1,Bình Thạnh,Hồ Chí Minh
64.0,,,4.0,4.0,6.0,6.5,5,Phú Nhuận,Hồ Chí Minh
68.0,5.2,,3.0,3.0,4.0,8.9,Bồ Đề,Long Biên,Hà Nội
56.0,4.5,,3.0,3.0,2.0,9.8,Long Biên,Long Biên,Hà Nội
72.0,4.0,5.0,3.0,3.0,3.0,4.35,Tân Đông Hiệp,Dĩ An,Bình Dương
45.0,,,6.0,4.0,4.0,5.85,Hoàng Văn Thụ,Hoàng Mai,Hà Nội
55.0,4.0,,4.0,4.0,,6.0,Việt Hưng,Long Biên,Hà Nội
56.0,4.0,5.0,2.0,2.0,2.0,5.39,Tây Thạnh,Tân Phú,Hồ Chí Minh
75.0,,,,,,7.9,Vĩnh Niệm,Lê Chân,Hải Phòng
30.0,,,3.0,3.0,3.0,2.28,Phụng Châu,Chương Mỹ,Hà Nội
125.0,,6.0,1.0,4.0,3.0,2.0,Mỹ Hạnh Bắc,Đức Hòa,Long An
108.0,7.0,3.0,1.0,2.0,2.0,5.5,Phú Thuận,Quận 7,Hồ Chí Minh
96.8,,,3.0,4.0,5.0,9.0,Phước Kiển,Nhà Bè,Hồ Chí Minh
34.0,3.7,,2.0,3.0,1.0,4.15,Nghĩa Đô,Cầu Giấy,Hà Nội
35.5,3.0,3.0,2.0,2.0,2.0,2.09,Xuân Hà,Thanh Khê,Đà Nẵng
37.0,3.0,2.0,4.0,3.0,3.0,3.9,Phương Liên,Đống Đa,Hà Nội
40.0,7.0,3.0,4.0,3.0,4.0,8.8,Kim Mã,Ba Đình,Hà Nội
50.0,4.9,6.0,3.0,3.0,4.0,6.6,Linh Chiểu,Thủ Đức,Hồ Chí Minh
40.0,,,4.0,,,7.4,Phúc Tân,Hoàn Kiếm,Hà Nội
50.0,4.5,5.0,5.0,5.0,4.0,9.6,Ngọc Hà,Ba Đình,Hà Nội
30.0,4.6,,5.0,3.0,,4.4,Khâm Thiên,Đống Đa,Hà Nội
60.0,5.0,4.0,3.0,4.0,4.0,8.4,Văn Chương,Đống Đa,Hà Nội
96.0,7.0,,2.0,3.0,1.0,6.8,Phước Long A,Quận 9,Hồ Chí Minh
24.0,,4.0,2.0,2.0,2.0,2.5,Tân Hưng,Quận 7,Hồ Chí Minh
52.8,3.5,3.5,2.0,3.0,3.0,3.79,Nhà Bè,Nhà Bè,Hồ Chí Minh
30.0,3.0,,2.0,2.0,2.0,3.2,Tân Hưng,Quận 7,Hồ Chí Minh
56.0,,10.0,4.0,4.0,5.0,7.0,Tân Quý,Tân Phú,Hồ Chí Minh
35.0,36.0,,7.0,4.0,4.0,7.4,Định Công,Hoàng Mai,Hà Nội
63.0,5.0,13.0,5.0,6.0,5.0,7.05,Long Hưng,Văn Giang,Hưng Yên
